strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_type	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits	assembly
166H3	Klebsiella pneumoniae	strong	75	234379	973951	5746101	no	-	ST147	1	2	9	13	ybt 16; ICEKp12 (truncated)	280-1LV	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	?-	None	99.98%	KL64_07_wzx,KL64_08_wcoV,KL64_09,KL64_10_wzy,KL64_11_wcoU,KL64_12_wcoT	O1/O2v1	O2a	none	Very high	98.64%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1;strB.v1	-	-	qnrB1.v1	-	-	CatB4.v1?	-	sul1	tet(A).v1	-	dfrA1.v1	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1	SHV-11.v1^	35Q	OmpK35-7%	-	GyrA-83I;ParC-80I	-	-	ST147	3	4	6	1	7	4	38	6	15	5	4	11	125*-77%	129	2	11	51	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	166H3
183J4	Klebsiella pneumoniae	strong	77	197675	728892	5547557	no	-	ST147	1	2	8	11	ybt 9; ICEKp3	173-2LV	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	?-	None	99.99%	KL64_06_wzc,KL64_07_wzx,KL64_08_wcoV,KL64_09,KL64_10_wzy,KL64_11_wcoU,KL64_12_wcoT,KL64_13_wcsF	O1/O2v1	O2a	none	Very high	98.64%		aadA*;aph(3')-VI	-	-	qnrS1	-	-	catB3.v2	arr-3	sul1	-	-	-	OXA-1;OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1	SHV-11.v1^	35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	-	aac(6')-Ib-cr.v1*?-0%;aac(6')-Ib-cr.v2?-51%	ST147	3	4	6	1	7	4	38	5	11	6	5	1	293	318	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	183J4
189D7	Klebsiella pneumoniae	strong	94	200921	948035	5792364	no	-	ST147	1	2	10	14	ybt 16; ICEKp12	280	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	?-	None	99.86%	KL64_06_wzc,KL64_07_wzx,KL64_08_wcoV,KL64_09,KL64_10_wzy,KL64_11_wcoU,KL64_12_wcoT,KL64_13_wcsF,KL64_14_wcuK	O1/O2v1	O2a	none	Very high	98.64%		aadA2^;strA.v1;strB.v1	-	-	qnrS1	-	mphA	catA1^;catII.2*	-	sul1	tet(A).v1	-	dfrA1.v1;dfrA12	TEM-1D.v1^	-	CTX-M-15	-	OXA-181	SHV-11.v2*	35Q	OmpK35-7%	-	GyrA-83I;ParC-80I	-	-	ST147	3	4	6	1	7	4	38	6	15	5	4	11	125	129	2	11	51	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	189D7
192I2	Klebsiella pneumoniae	strong	106	186645	806835	5812074	no	-	ST147	1	2	9	16	ybt 10; ICEKp4	384	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	?-	None	99.99%	KL64_07_wzx,KL64_08_wcoV,KL64_09,KL64_10_wzy,KL64_11_wcoU,KL64_12_wcoT,KL64_13_wcsF	O1/O2v1	O2a	?-	Good	98.64%	O1/O2v1_06_wbbO	aac(6')-Ib;aadA2^;rmtB;strA.v1;strB.v1	-	-	qnrB1.v2^	-	ermB.v1*;mphA?	catII.2*	arr-2	sul1;sul2	-	-	dfrA12	TEM-1D.v1^	-	-	-	NDM-5;OXA-181	SHV-11.v1^	35Q	OmpK35-76%;OmpK36TD	-	GyrA-83I;ParC-80I	CTX-M-15?-0%;rmtF*?-0%	-	ST147	3	4	6	1	7	4	38	16	12	4	3	3	61	54	3	10	9	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	192I2
198J6	Klebsiella pneumoniae	strong	71	239428	643364	5553021	no	-	ST147	3	2	9	13	-	0	-	0	iuc 5	62-2LV	-	0	-	0	-	wzi64	KL64	K64	?-	None	100.00%	KL64_08_wcoV,KL64_09,KL64_10_wzy,KL64_11_wcoU,KL64_12_wcoT,KL64_13_wcsF	O1/O2v1	O2a	none	Very high	98.62%		aac(3)-IIa.v1*;aac(6')-Ib-cr.v2;aadA5	-	-	qnrE2	-	-	catA1^;catB3.v2	arr-3	sul1	-	-	dfrA17	OXA-1	-	CTX-M-15;TEM-26^	-	NDM-1	SHV-11.v1^	35Q	-	-	GyrA-83I;ParC-80I	-	-	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29	12	28	35	61	-	-	-	-	-	-	-	-	198J6
240F8	Klebsiella pneumoniae	strong	118	152718	715907	5523723	no	-	ST147	1	2	2	1	ybt 16; ICEKp12	277-2LV	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	?-	None	99.98%	KL64_06_wzc,KL64_07_wzx,KL64_08_wcoV,KL64_09,KL64_10_wzy,KL64_11_wcoU,KL64_12_wcoT,KL64_13_wcsF	O1/O2v1	O2a	?-	Good	98.60%	O1/O2v1_01_wzm,O1/O2v1_06_wbbO	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-3	SHV-11.v1^	35Q	-	-	GyrA-83I;ParC-80I	-	-	ST147	3	4	6	1	7	4	38	6	15	5	4	11	33*	23*	2	11	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	240F8
242J2	Klebsiella pneumoniae	strong	80	187869	825179	5536404	no	-	ST147	0	2	7	8	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	?-	None	99.99%	KL64_06_wzc,KL64_07_wzx,KL64_08_wcoV,KL64_09,KL64_10_wzy,KL64_11_wcoU,KL64_12_wcoT,KL64_13_wcsF,KL64_14_wcuK	O1/O2v1	O2a	none	Very high	98.64%		aac(3)-IIa.v1;strA.v1*	-	-	qnrS1	-	-	-	-	sul2	tet(D)	-	dfrA14.v2*	TEM-1D.v1^	-	-	-	OXA-48	SHV-11.v1^	35Q	-	-	GyrA-83I;ParC-80I	-	-	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	242J2
247C4	Klebsiella pneumoniae	strong	72	222222	1100882	5615355	no	-	ST147	1	2	10	12	ybt 10; ICEKp4	384	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	?-	None	99.98%	KL64_07_wzx,KL64_08_wcoV,KL64_09,KL64_10_wzy,KL64_11_wcoU,KL64_12_wcoT,KL64_13_wcsF	O1/O2v1	O2a	?-	Good	98.61%	O1/O2v1_01_wzm	aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	CatB4.v1	-	sul1	tet(A).v1	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	-	-	GyrA-83I;ParC-80I	-	-	ST147	3	4	6	1	7	4	38	16	12	4	3	3	61	54	3	10	9	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	247C4
265C5	Klebsiella pneumoniae	strong	107	197477	467631	5835498	no	-	ST147	4	2	10	17	ybt 9; ICEKp3	173-2LV	-	0	iuc 1	63	-	0	-	0	-	wzi64	KL64	K64	?-	None	100.00%	KL64_06_wzc,KL64_07_wzx,KL64_08_wcoV,KL64_09,KL64_10_wzy,KL64_11_wcoU,KL64_12_wcoT	O1/O2v1	O2a	none	Very high	98.64%		aac(6')-Ib-cr.v2;aph(3')-VI;aph3-Ia.v1^;armA	-	-	qnrS1	-	mphA?;mphE.v2;msrE	catB3.v2	arr-3	sul1;sul2	-	-	dfrA5	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1	SHV-11.v1^	35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	-	-	ST147	3	4	6	1	7	4	38	5	11	6	5	1	293*	318	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	15	1	1	1	-	-	-	-	-	-	-	rmpA_55*-0%	265C5
333H7	Klebsiella pneumoniae	strong	116	197679	537141	5833203	no	-	ST147	4	2	10	18	ybt 9; ICEKp3	173-2LV	-	0	iuc 1	63	-	0	-	0	-	wzi64	KL64	K64	?-	None	100.00%	KL64_06_wzc,KL64_07_wzx,KL64_08_wcoV,KL64_09,KL64_10_wzy,KL64_11_wcoU,KL64_12_wcoT,KL64_13_wcsF,KL64_16_wcaJ	O1/O2v1	O2a	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA*;aph(3')-VI;aph3-Ia.v1^	-	-	qnrS1	-	mphA?;mphE.v2;msrE	catB3.v2	arr-3	sul1;sul2	-	-	dfrA5	OXA-1;OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	NDM-14	SHV-11.v1^	35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	-	armA*?-0%	ST147	3	4	6	1	7	4	38	5	11	6	5	1	293*	318	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	15	1	1	1	-	-	-	-	-	-	-	-	333H7
